invoice_id,account_id,subscription_id,invoice_date,total,total_nzd,currency,status
inv_9437f5f7861c8253,sub_98edab9547d40425,subsc_4d78827d089ec43a,2026-03-03,1184.96,1184.96,NZD,PAID
inv_ebb2e7ed7ea69483,sub_98edab9547d40425,subsc_4d78827d089ec43a,2026-04-03,1192.68,1192.68,NZD,PAID
inv_c647fc74783854e8,sub_98edab9547d40425,subsc_4d78827d089ec43a,2026-05-01,1186.73,1186.73,NZD,PAID
inv_6100207f04e92ded,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2023-07-06,1015.1,1106.46,AUD,PAID
inv_9e81c1e17bbac9dc,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2023-08-03,1020.59,1112.44,AUD,POSTED
inv_182a0dadf4629486,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2023-09-03,1015.0,1106.35,AUD,PAID
inv_a8d20c943751f22e,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2023-10-03,1017.53,1109.11,AUD,POSTED
inv_feb6a172f26be279,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2023-11-01,1016.14,1107.59,AUD,PAID
inv_c05c083040b94c5c,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2023-12-05,1023.19,1115.28,AUD,PAID
inv_0dbea7f923e36085,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-01-04,1021.11,1113.01,AUD,PAID
inv_613f7fb4c6797a1c,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-02-01,1014.53,1105.84,AUD,PAID
inv_99d4bfbd329bdcd4,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-03-02,1013.61,1104.83,AUD,PAID
inv_9fea10f350696d94,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-04-03,1014.82,1106.15,AUD,PAID
inv_650fc9211439d4ed,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-05-01,1020.48,1112.32,AUD,PAID
inv_74ab91be18bd4410,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-06-01,1019.42,1111.17,AUD,PAID
inv_a577fbe97a8c9be3,sub_c6f2c7e0c70ea994,subsc_72f600682a70ef3e,2024-07-06,1013.71,1104.94,AUD,POSTED
inv_c15c235ac02241b0,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2024-07-03,1018.01,1109.63,AUD,PAID
inv_21b10f3656318812,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2024-08-01,1014.74,1106.07,AUD,PAID
inv_4eb54ee8cf3953b1,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2024-09-06,1015.2,1106.57,AUD,PAID
inv_2a7562027f15d6c0,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2024-10-06,1017.51,1109.09,AUD,VOIDED
inv_67e8c29a4fb8860e,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2024-11-02,1017.84,1109.45,AUD,PAID
inv_b4526c955a3c7a8d,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2024-12-02,1016.29,1107.76,AUD,PAID
inv_e74d29395dd6fc92,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-01-02,1013.84,1105.09,AUD,PAID
inv_bac09cb48c318338,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-02-05,1020.08,1111.89,AUD,PAID
inv_a798125396ad2f09,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-03-04,1018.37,1110.02,AUD,PAID
inv_ddab490672566bb2,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-04-05,1014.89,1106.23,AUD,PAID
inv_d413fedc2d3ee151,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-05-05,1016.03,1107.47,AUD,PAID
inv_1360783d3363cb5b,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-06-06,1021.59,1113.53,AUD,PAID
inv_f2367270b11692be,sub_c6f2c7e0c70ea994,subsc_88aa17e561691655,2025-07-04,1017.15,1108.69,AUD,PAID
inv_58436873018041bb,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2025-07-03,1016.99,1108.52,AUD,PAID
inv_676e0f4c852a358c,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2025-08-03,1017.45,1109.02,AUD,PAID
inv_4e168636d0df3c35,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2025-09-03,1019.57,1111.33,AUD,VOIDED
inv_2971379a0f0046e6,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2025-10-05,1014.09,1105.36,AUD,PAID
inv_aeb675773ff97cb3,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2025-11-02,1017.13,1108.67,AUD,PAID
inv_02e94c60c0cc1374,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2025-12-06,1023.41,1115.52,AUD,PAID
inv_4041029cd51f967a,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2026-01-06,1015.95,1107.39,AUD,PAID
inv_78a74150f3578f0b,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2026-02-02,1014.06,1105.33,AUD,PAID
inv_4852599a58ed0564,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2026-03-04,1019.35,1111.09,AUD,PAID
inv_4ad5773e9da20ea4,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2026-04-02,1017.1,1108.64,AUD,PAID
inv_facc747fde14ae1c,sub_c6f2c7e0c70ea994,subsc_cf107639354bc566,2026-05-06,1015.28,1106.66,AUD,PAID
inv_bc72481f97e473f2,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2023-10-01,1049.9,1700.84,USD,PAID
inv_a4bf88ab69e5e713,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2023-11-05,1049.97,1700.95,USD,PAID
inv_0ff90a92e6279abc,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2023-12-02,1048.5,1698.57,USD,PAID
inv_74148f2678e72b3f,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-01-04,1051.36,1703.2,USD,PAID
inv_7b8063d55c2be4ac,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-02-01,1048.27,1698.2,USD,PAID
inv_3bccd64577037b01,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-03-02,1043.54,1690.53,USD,PAID
inv_9c27313c93f7577d,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-04-03,1042.8,1689.34,USD,PAID
inv_6033f767435e381f,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-05-02,1052.21,1704.58,USD,PAID
inv_ce152798bd386eab,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-06-03,1046.16,1694.78,USD,PAID
inv_86b612b3e066daf1,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-07-06,1043.22,1690.02,USD,PAID
inv_856534c310f6109d,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-08-05,1052.21,1704.58,USD,PAID
inv_b77c4a7976d51e79,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-09-03,1051.61,1703.61,USD,PAID
inv_7a827f66117d784e,sub_3a94604070d939dc,subsc_a82ca3b2742b2dae,2024-10-05,1049.98,1700.97,USD,PAID
inv_921960896fafaf03,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2024-10-02,939.24,1521.57,USD,PAID
inv_7c019d82058ac28d,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2024-11-04,947.49,1534.93,USD,PAID
inv_34a07d25ba4f7bb4,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2024-12-06,945.75,1532.12,USD,PAID
inv_04863adaa880d104,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-01-05,941.28,1524.87,USD,PAID
inv_2030edcf7fdefaa3,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-02-03,944.83,1530.62,USD,PAID
inv_7753e27cfa6baf98,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-03-02,940.39,1523.43,USD,PAID
inv_3944e6f0d7137093,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-04-03,941.85,1525.8,USD,PAID
inv_d78191341ecde04c,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-05-06,939.49,1521.97,USD,PAID
inv_c4bb24763359d72e,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-06-05,947.23,1534.51,USD,PAID
inv_c54474974015c0fd,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-07-05,938.59,1520.52,USD,PAID
inv_14972512c074e3a2,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-08-04,940.37,1523.4,USD,PAID
inv_dcf2c4889a777382,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-09-02,939.61,1522.17,USD,PAID
inv_e0887230c7437ae1,sub_3a94604070d939dc,subsc_3381c4343b3d8cd4,2025-10-06,941.56,1525.33,USD,PAID
inv_a0a16e20e5eb99b7,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2025-10-06,946.63,1533.54,USD,PAID
inv_f6d03a452fe889d0,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2025-11-03,944.6,1530.25,USD,PAID
inv_5e1784ef748742ed,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2025-12-02,942.5,1526.85,USD,PAID
inv_5985f81d1cb2ea2f,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2026-01-01,944.82,1530.61,USD,PAID
inv_3cd0e20679d38fcb,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2026-02-04,945.08,1531.03,USD,POSTED
inv_c0a9090c262132ff,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2026-03-04,945.19,1531.21,USD,PAID
inv_19cdf1905a47e9b4,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2026-04-05,942.93,1527.55,USD,PAID
inv_7fd1b5239b31e240,sub_3a94604070d939dc,subsc_f2254e7f581a529b,2026-05-05,941.82,1525.75,USD,PAID
inv_aa4ede4536d05cfe,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2023-10-02,1019.54,1651.65,USD,PAID
inv_a8e760903fe4e193,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2023-11-01,1017.5,1648.35,USD,PAID
inv_04a9ad3e2ac73934,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2023-12-01,1015.91,1645.77,USD,PAID
inv_85ecf3d2e891b710,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2024-01-04,1013.67,1642.15,USD,PAID
inv_724ac60b47513ac0,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2024-02-01,1014.55,1643.57,USD,POSTED
inv_658cb8fa21e4c2fa,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2024-03-04,1016.35,1646.49,USD,PAID
inv_d356b2085eef067d,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2024-04-06,1020.08,1652.53,USD,PAID
inv_351ce8aac05bd436,sub_adbbced8587feb0a,subsc_f93f44bd083d868e,2024-05-02,1014.59,1643.64,USD,PAID
inv_1f8e6b0fa3dcd93a,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-04-02,4748.04,4748.04,NZD,PAID
inv_2a4e7374c14b8640,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-05-06,4765.01,4765.01,NZD,PAID
inv_d30f9f0d4eea23ff,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-06-03,4771.25,4771.25,NZD,PAID
inv_4632549bfd76bab9,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-07-05,4756.82,4756.82,NZD,POSTED
inv_33d121a6fe3bda35,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-08-01,4771.7,4771.7,NZD,PAID
inv_890a51f64e43c3a9,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-09-03,4762.7,4762.7,NZD,PAID
inv_5ff109a86c4025c6,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-10-04,4784.78,4784.78,NZD,PAID
inv_8669bd9da2ce0e3d,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-11-02,4755.01,4755.01,NZD,VOIDED
inv_c3d52094206a8b81,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2024-12-04,4775.92,4775.92,NZD,PAID
inv_bce21591d9313d39,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2025-01-04,4785.73,4785.73,NZD,PAID
inv_6cffc43f2f33f52e,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2025-02-03,4767.95,4767.95,NZD,PAID
inv_239d7f5b772b9a3f,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2025-03-02,4749.83,4749.83,NZD,PAID
inv_86760b4d13ddc561,sub_52365ed8b4c3756f,subsc_62778acc8837949b,2025-04-02,4763.18,4763.18,NZD,PAID
inv_d78250d738a94846,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-04-04,5958.43,5958.43,NZD,PAID
inv_d7ef9d2bce6b8776,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-05-05,5947.56,5947.56,NZD,PAID
inv_f2c31ff017a9cde6,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-06-06,5935.53,5935.53,NZD,PAID
inv_e9d174e17521e415,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-07-05,5937.62,5937.62,NZD,PAID
inv_d31328a4110ec84d,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-08-02,5956.54,5956.54,NZD,PAID
inv_3f716679bbeb3c0b,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-09-05,5964.86,5964.86,NZD,PAID
inv_cd6ee1a37dc44c55,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-10-04,5956.82,5956.82,NZD,PAID
inv_ec81c7a9201e1424,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-11-03,5966.0,5966.0,NZD,PAID
inv_0bd73b668ce541b6,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2025-12-06,5936.57,5936.57,NZD,PAID
inv_629dd5f5b6229101,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2026-01-05,5933.93,5933.93,NZD,PAID
inv_b982bd1cc07e3b90,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2026-02-05,5979.58,5979.58,NZD,PAID
inv_e42f4c2c4f1b0921,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2026-03-04,5940.65,5940.65,NZD,PAID
inv_58232d98846d2b56,sub_52365ed8b4c3756f,subsc_c1d9546aae95f949,2026-04-02,5942.16,5942.16,NZD,PAID
inv_1110d2c659df2144,sub_52365ed8b4c3756f,subsc_f676fe3cd84406ac,2026-04-04,5980.06,5980.06,NZD,PAID
inv_4acebe477ac4ae4c,sub_52365ed8b4c3756f,subsc_f676fe3cd84406ac,2026-05-02,5936.53,5936.53,NZD,PAID
inv_f3858dfba15f9d2d,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2023-07-05,2514.19,4072.99,USD,PAID
inv_056bef0c1835e697,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2023-08-01,2495.69,4043.02,USD,PAID
inv_7e64d05e2bc89912,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2023-09-05,2491.42,4036.1,USD,PAID
inv_0faaed1275790ebf,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2023-10-04,2497.4,4045.79,USD,PAID
inv_5c4aad4fe5bb921c,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2023-11-06,2512.19,4069.75,USD,VOIDED
inv_d1144596da1f108f,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2023-12-04,2504.83,4057.82,USD,PAID
inv_bc2024cdf1fc1fb5,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-01-05,2492.06,4037.14,USD,PAID
inv_bed4f8ed35a54b98,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-02-01,2503.95,4056.4,USD,PAID
inv_342a24b6c85d5b1b,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-03-01,2512.38,4070.06,USD,PAID
inv_935d23ec878d0209,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-04-03,2508.9,4064.42,USD,PAID
inv_4ec6eca93eb8bd01,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-05-06,2511.2,4068.14,USD,PAID
inv_726d08cc6c478557,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-06-01,2501.39,4052.25,USD,PAID
inv_0abba1db0cd57770,sub_03638b68798132cd,subsc_eb4ac704ade6917d,2024-07-05,2493.55,4039.55,USD,PAID
inv_d6cfc9d758f1e63f,sub_03638b68798132cd,subsc_dd3160e4dff89834,2024-07-01,2504.47,4057.24,USD,PAID
inv_7df338b3314a5d1f,sub_03638b68798132cd,subsc_dd3160e4dff89834,2024-08-06,2499.14,4048.61,USD,PAID
inv_1a5a0c3077b08c26,sub_03638b68798132cd,subsc_dd3160e4dff89834,2024-09-03,2495.18,4042.19,USD,PAID
inv_dcf5c5041471fbba,sub_03638b68798132cd,subsc_dd3160e4dff89834,2024-10-03,2511.68,4068.92,USD,VOIDED
inv_6abfa9e59c743dc9,sub_03638b68798132cd,subsc_dd3160e4dff89834,2024-11-06,2497.02,4045.17,USD,PAID
inv_d1bbb002d0c636c2,sub_03638b68798132cd,subsc_dd3160e4dff89834,2024-12-02,2506.37,4060.32,USD,PAID
inv_9a7b8beb325a2f3c,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-01-04,2492.6,4038.01,USD,PAID
inv_991b56244e25cd85,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-02-06,2508.61,4063.95,USD,PAID
inv_ee28b7ead77e67ae,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-03-02,2499.67,4049.47,USD,PAID
inv_ac46dac22e1debb1,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-04-04,2500.29,4050.47,USD,PAID
inv_58b878f2a42b6933,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-05-03,2507.78,4062.6,USD,PAID
inv_180fe75a63076f79,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-06-02,2509.78,4065.84,USD,PAID
inv_2cc2ab6f0c1e02fc,sub_03638b68798132cd,subsc_dd3160e4dff89834,2025-07-04,2490.88,4035.23,USD,PAID
inv_b4e97ba37a7bc203,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2025-07-05,2492.63,4038.06,USD,PAID
inv_edefb72eeb956b42,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2025-08-02,2489.97,4033.75,USD,PAID
inv_cdded29c1e2df2b0,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2025-09-04,2510.18,4066.49,USD,PAID
inv_fccfb6bd346b89da,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2025-10-02,2490.51,4034.63,USD,PAID
inv_832669c68f3d1c9b,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2025-11-05,2496.1,4043.68,USD,PAID
inv_17edc9b366b297fe,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2025-12-06,2499.17,4048.66,USD,PAID
inv_552955803aa3cc7c,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2026-01-05,2490.01,4033.82,USD,PAID
inv_fd15a41f1d0de7e7,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2026-02-04,2500.4,4050.65,USD,PAID
inv_cc2eef43eb33c3c7,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2026-03-02,2503.92,4056.35,USD,PAID
inv_9b77f1c31bff0b4f,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2026-04-06,2510.2,4066.52,USD,PAID
inv_b0dcb1463805d929,sub_03638b68798132cd,subsc_4a4e4532ffd5357b,2026-05-01,2491.5,4036.23,USD,VOIDED
inv_e8b0810d18c47826,sub_a5614ebe48f8df0f,subsc_e7eea21ad159a7dc,2023-11-02,258.04,418.02,USD,PAID
inv_28c655b4ba21c8f0,sub_a5614ebe48f8df0f,subsc_e7eea21ad159a7dc,2023-12-06,259.84,420.94,USD,PAID
inv_bf085970d493b220,sub_a5614ebe48f8df0f,subsc_e7eea21ad159a7dc,2024-01-05,258.16,418.22,USD,PAID
inv_679821958841f7a5,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-06-06,1844.36,3780.94,GBP,PAID
inv_a70103c8fdd769fb,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-07-06,1844.15,3780.51,GBP,PAID
inv_98bf05241abdd4c3,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-08-02,1847.19,3786.74,GBP,PAID
inv_4a0fc5fe0892028b,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-09-03,1848.66,3789.75,GBP,PAID
inv_a6b3ce2a11e86c0e,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-10-03,1857.19,3807.24,GBP,PAID
inv_e0144265922f2a09,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-11-03,1851.84,3796.27,GBP,PAID
inv_271a0cf589e0bd2a,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2023-12-03,1852.49,3797.6,GBP,PAID
inv_bf9c35aac692cdb4,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2024-01-04,1856.53,3805.89,GBP,PAID
inv_6546ff321cfbd876,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2024-02-06,1854.82,3802.38,GBP,VOIDED
inv_ade80ac7b0c805b6,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2024-03-05,1861.9,3816.89,GBP,PAID
inv_434e01bd38c90601,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2024-04-03,1855.98,3804.76,GBP,PAID
inv_8c7a9549433420e5,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2024-05-03,1856.67,3806.17,GBP,PAID
inv_93260dc53b7da629,sub_95dd23f581e3369e,subsc_4f3f2c334af0f314,2024-06-03,1862.3,3817.71,GBP,PAID
inv_f751c108e55a5684,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-06-06,1663.93,3411.06,GBP,PAID
inv_43281031172417d9,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-07-02,1664.56,3412.35,GBP,PAID
inv_550fd02abf986b44,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-08-05,1674.58,3432.89,GBP,PAID
inv_54a6d0ead4b342c7,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-09-02,1666.32,3415.96,GBP,PAID
inv_1881018737c87d03,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-10-03,1671.61,3426.8,GBP,PAID
inv_bbe99fba4de6a705,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-11-04,1663.9,3410.99,GBP,PAID
inv_8173274e3182a657,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2024-12-05,1671.87,3427.33,GBP,PAID
inv_1d55c14aaac389ad,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2025-01-06,1673.19,3430.04,GBP,PAID
inv_c2181b1303dccfc2,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2025-02-04,1663.29,3409.74,GBP,PAID
inv_c739cbd8b5126159,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2025-03-05,1674.7,3433.13,GBP,PAID
inv_2f28e1871b6bd633,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2025-04-06,1664.58,3412.39,GBP,PAID
inv_e5c4eb37f83c7aa7,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2025-05-01,1674.2,3432.11,GBP,PAID
inv_2df72502bf3488a7,sub_95dd23f581e3369e,subsc_507db4215bb4be20,2025-06-06,1667.43,3418.23,GBP,PAID
